Cuisines,Votes
North Indian,598707
Chinese,364351
Italian,329265
Continental,288255
Fast Food,184058
American,183117
Cafe,177568
Mughlai,151946
Desserts,105889
Asian,104303
European,103309
South Indian,80962
Mediterranean,80538
Pizza,78179
Burger,76747
Mexican,74748
Seafood,74254
Thai,65930
Bakery,57696
Street Food,43798
Finger Food,34823
Japanese,34607
Steak,25677
Sandwich,23500
Lebanese,23390
Indian,22396
Beverages,21037
Sushi,20582
Mithai,19647
Biryani,18614
Tex-Mex,16171
Breakfast,16097
Ice Cream,15780
Bar Food,15684
Healthy Food,14864
Modern Indian,14581
Southern,13939
Spanish,12335
Salad,11620
Goan,11488
Vegetarian,10714
Indonesian,10677
Tea,10202
BBQ,9647
Rajasthani,8932
Tapas,8799
International,8122
Hawaiian,8012
Bengali,7883
Middle Eastern,7677
French,7046
Chettinad,6778
Parsi,6394
German,6358
Southwestern,6244
Arabian,6150
Kerala,5956
Andhra,5946
Cajun,5596
Sunda,5514
Hyderabadi,5480
Iranian,5374
Vietnamese,5120
Caribbean,5024
African,5020
British,4982
Greek,4947
Latin American,4940
Western,4749
Tibetan,4593
Malaysian,4473
Portuguese,4390
Grill,4301
Coffee and Tea,4266
Turkish,3897
Gujarati,3849
Burmese,3806
Filipino,3789
Korean,3464
Brazilian,3259
Restaurant Cafe,3158
Kashmiri,3081
Pakistani,2821
Bihari,2785
Juices,2225
Contemporary,2196
Pub Food,2084
Curry,2059
Raw Meats,1945
World Cuisine,1905
Lucknowi,1902
Cuban,1892
South African,1806
Dim Sum,1755
Deli,1602
Kebab,1536
Diner,1511
Maharashtrian,1499
Modern Australian,1494
Kiwi,1444
New American,1437
Patisserie,1394
B�_rek,1305
Ramen,1259
Izgara,1166
Charcoal Grill,1163
Peranakan,1159
Nepalese,1144
Mangalorean,1098
Naga,1026
Turkish Pizza,988
Argentine,976
Sri Lankan,902
Afghani,811
Irish,782
Awadhi,732
Bubble Tea,659
North Eastern,623
Teriyaki,601
Australian,584
Moroccan,477
Soul Food,432
Scottish,427
Assamese,418
Taiwanese,384
Oriya,308
Belgian,251
Fusion,239
Persian,178
Armenian,166
Asian Fusion,147
South American,145
Singaporean,122
Fish and Chips,96
Malwani,77
D�_ner,72
Gourmet Fast Food,68
Cantonese,66
Drinks Only,45
Durban,43
Malay,25
Canadian,6
Peruvian,5
Cuisine Varies,2
Mineira,2
